,footprint,street_images,nstories,buildingheight,eraBuilt,garageExists
0,"[[-117.6031723, 33.8788332], [-117.6031968, 33.8787026], [-117.6031218, 33.8786929], [-117.6031979, 33.878289], [-117.6029474, 33.8782565], [-117.6028696, 33.8786695], [-117.6027942, 33.8786597], [-117.6027714, 33.8787813], [-117.6031723, 33.8788332]]",tmp/images/street/0.png,1,18.0,1990-1999,True
1,"[[-117.605583, 33.8792468], [-117.605754, 33.8790824], [-117.6057193, 33.8790564], [-117.6057271, 33.8790464], [-117.6055631, 33.8789162], [-117.6055141, 33.8789527], [-117.6054581, 33.8789103], [-117.6053786, 33.8789787], [-117.605441, 33.8790293], [-117.6053914, 33.8790771], [-117.605473, 33.8791395], [-117.6054261, 33.8791814], [-117.6054708, 33.8792144], [-117.6054991, 33.879187], [-117.605583, 33.8792468]]",tmp/images/street/1.png,2,34.9,Pre-1970,False
2,"[[-117.6265096, 33.8829005], [-117.6259899, 33.8827235], [-117.6261301, 33.8824441], [-117.6263708, 33.8825292], [-117.6263896, 33.8824908], [-117.6266638, 33.8825832], [-117.6265096, 33.8829005]]",tmp/images/street/2.png,1,15.1,2000-2009,False
3,"[[-117.6145314, 33.8800715], [-117.6145621, 33.8800411], [-117.6145734, 33.8800489], [-117.6145952, 33.8800272], [-117.6145812, 33.8800175], [-117.6146108, 33.8799881], [-117.6145999, 33.8799806], [-117.614615, 33.8799655], [-117.614601, 33.8799558], [-117.6145881, 33.8799687], [-117.6145717, 33.8799573], [-117.6145828, 33.8799504], [-117.6145049, 33.8798976], [-117.6145131, 33.8798893], [-117.6144907, 33.8798742], [-117.6144825, 33.8798825], [-117.6144438, 33.8798564], [-117.6144538, 33.8798461], [-117.6144277, 33.8798285], [-117.6144167, 33.8798398], [-117.6144105, 33.8798356], [-117.6143904, 33.8798561], [-117.6143849, 33.8798524], [-117.6143408, 33.8798977], [-117.6143466, 33.8799016], [-117.6143227, 33.8799262], [-117.6143654, 33.8799548], [-117.6143589, 33.8799615], [-117.614395, 33.8799857], [-117.614402, 33.8799817], [-117.6145314, 33.8800715]]",tmp/images/street/3.png,3,53.3,Pre-1970,False
4,"[[-117.6272676, 33.8830968], [-117.6270826, 33.8830994], [-117.6268509, 33.8830209], [-117.6268438, 33.8825113], [-117.6272524, 33.8825079], [-117.6272676, 33.8830968]]",tmp/images/street/4.png,2,30.3,Pre-1970,True
5,"[[-117.6041046, 33.8789264], [-117.6042094, 33.8783667], [-117.6039731, 33.8783362], [-117.6038729, 33.8788718], [-117.6037178, 33.8788518], [-117.6038177, 33.8783182], [-117.6035766, 33.8782871], [-117.6034717, 33.878847], [-117.6036117, 33.8788651], [-117.6035922, 33.8789689], [-117.6039407, 33.879014], [-117.6039606, 33.8789078], [-117.6041046, 33.8789264]]",tmp/images/street/5.png,1,39.7,1990-1999,True
6,"[[-117.6115647, 33.8797415], [-117.6115775, 33.8796473], [-117.6113493, 33.879626], [-117.6113363, 33.8797225], [-117.6114316, 33.8797314], [-117.6114303, 33.8797409], [-117.6114696, 33.8797446], [-117.6114712, 33.8797328], [-117.6115647, 33.8797415]]",tmp/images/street/6.png,1,25.5,Pre-1970,False
7,"[[-117.614194, 33.8796678], [-117.6140809, 33.8795887], [-117.61412, 33.8795501], [-117.6142331, 33.8796292], [-117.614194, 33.8796678]]",tmp/images/street/7.png,1,17.1,2000-2009,False
8,"[[-117.604687, 33.8790188], [-117.6045534, 33.8790016], [-117.6045556, 33.8789899], [-117.6045214, 33.8789855], [-117.60452, 33.8789926], [-117.6045057, 33.8789908], [-117.6044898, 33.8790739], [-117.6044152, 33.8790641], [-117.6044314, 33.8789791], [-117.6043726, 33.8789713], [-117.6043965, 33.8788469], [-117.6044356, 33.8788521], [-117.604437, 33.8788446], [-117.6045119, 33.8788546], [-117.6045102, 33.8788634], [-117.6045226, 33.8788651], [-117.6045271, 33.878842], [-117.6044986, 33.8788382], [-117.6045007, 33.8788276], [-117.6044898, 33.8788261], [-117.6045046, 33.8787496], [-117.6045146, 33.8787509], [-117.6045175, 33.8787361], [-117.6045064, 33.8787346], [-117.6045209, 33.8786591], [-117.6045308, 33.8786604], [-117.6045332, 33.8786478], [-117.6045592, 33.8786513], [-117.6045635, 33.8786287], [-117.604554, 33.8786274], [-117.6045524, 33.8786355], [-117.6044756, 33.8786254], [-117.6044766, 33.8786197], [-117.6044343, 33.8786141], [-117.6044452, 33.8785568], [-117.6044551, 33.8785581], [-117.6044568, 33.8785491], [-117.6044484, 33.878548], [-117.6044599, 33.8784878], [-117.604505, 33.8784938], [-117.604504, 33.8784993], [-117.6045314, 33.8785029], [-117.6045328, 33.8784958], [-117.6046128, 33.8785064], [-117.6046115, 33.8785132], [-117.6046448, 33.8785176], [-117.6046464, 33.8785092], [-117.6046836, 33.8785141], [-117.6046847, 33.8785082], [-117.6047313, 33.8785143], [-117.6047325, 33.8785186], [-117.6047793, 33.8785246], [-117.604687, 33.8790188]]",tmp/images/street/8.png,2,34.1,1970-1979,False
