footprint,nstories,buildingheight,eraBuilt,garageExists
"POLYGON ((37.3273597 36.817683, 37.3274413 36.8176602, 37.3274072 36.8175821, 37.3273257 36.8176048, 37.3273597 36.817683))",1,29.6,2000-2009,False
"POLYGON ((37.3994578 36.8660642, 37.3995437 36.8660717, 37.3995476 36.8660433, 37.3994617 36.8660358, 37.3994578 36.8660642))",1,,Pre-1970,False
"POLYGON ((37.4010428 37.0647257, 37.4010561 37.0646265, 37.4011652 37.0646243, 37.4011472 37.0646757, 37.4011235 37.0646818, 37.4011102 37.0647386, 37.4010428 37.0647257))",2,30.7,Pre-1970,False
"POLYGON ((37.6831275 37.2723238, 37.6830317 37.2723272, 37.6830291 37.2722654, 37.6831295 37.2722272, 37.6831275 37.2723238))",,,N/A,
"POLYGON ((37.3552485 37.0637017, 37.3553146 37.0637065, 37.3553201 37.0636584, 37.3553212 37.0636493, 37.3552551 37.0636445, 37.3552485 37.0637017))",,,N/A,
"POLYGON ((36.7627252 36.9494557, 36.762682 36.9494577, 36.7626796 36.9494155, 36.7627226 36.9494137, 36.7627252 36.9494557))",,,N/A,
"POLYGON ((37.8337022 37.3187666, 37.8338774 37.3187708, 37.833873 37.318888, 37.8338274 37.3188869, 37.8338294 37.3188346, 37.833741 37.3188325, 37.833742 37.318806, 37.8337008 37.318805, 37.8337022 37.3187666))",,,N/A,
"POLYGON ((37.3344371 37.0789827, 37.3346382 37.07891, 37.3345537 37.0787612, 37.3343526 37.078834, 37.3344371 37.0789827))",,,N/A,
"POLYGON ((37.6840685 37.4779757, 37.6839493 37.4779801, 37.683947 37.4779405, 37.6839952 37.4779388, 37.6839932 37.4779048, 37.6840642 37.4779022, 37.6840685 37.4779757))",,,N/A,
"POLYGON ((37.7510306 37.1384346, 37.7509936 37.1383239, 37.7511729 37.1382857, 37.7512099 37.1383964, 37.7510306 37.1384346))",2,38.4,1980-1989,False
"POLYGON ((36.8285445 36.9910268, 36.8283632 36.9910795, 36.8283887 36.9911354, 36.8282774 36.9911678, 36.8282337 36.9910721, 36.8283616 36.9910349, 36.8283432 36.9909944, 36.8285079 36.9909465, 36.8285445 36.9910268))",,,N/A,
"POLYGON ((37.5679176 37.3168701, 37.5678113 37.3168706, 37.5678105 37.3167586, 37.5677837 37.3167587, 37.5677833 37.3167065, 37.5679163 37.3167058, 37.5679176 37.3168701))",1,21.7,Pre-1970,False
"POLYGON ((37.3904054 37.0671044, 37.3904335 37.0670942, 37.3904126 37.0670572, 37.3903844 37.0670674, 37.3904054 37.0671044))",1,27.2,Pre-1970,True
"POLYGON ((37.3219538 37.0398509, 37.3219708 37.0398465, 37.3219213 37.0397267, 37.3220631 37.0396894, 37.3221281 37.039847, 37.3221538 37.0398655, 37.3222063 37.0398517, 37.3222185 37.0398812, 37.3224482 37.0400465, 37.3223437 37.0401391, 37.3223604 37.0401794, 37.3221875 37.0402249, 37.3221642 37.0401684, 37.3220841 37.0401108, 37.322015 37.0399433, 37.3219823 37.0399198, 37.3219538 37.0398509))",2,35.6,1990-1999,False
"POLYGON ((37.3919761 37.2373785, 37.391905 37.237379, 37.3919032 37.2372241, 37.3920959 37.2372227, 37.3920973 37.2373439, 37.3921667 37.2373434, 37.3921686 37.2375021, 37.3919776 37.2375036, 37.3919761 37.2373785))",,,N/A,
"POLYGON ((37.4324846 37.0336112, 37.4324535 37.0335655, 37.4325306 37.0335321, 37.4325616 37.0335778, 37.4324846 37.0336112))",,,N/A,
"POLYGON ((37.3659177 36.8218408, 37.3659456 36.8218387, 37.3659506 36.8218814, 37.3659227 36.8218835, 37.3659177 36.8218408))",,,N/A,
"POLYGON ((37.7318433 37.2035891, 37.731793 37.2036608, 37.7316867 37.2036135, 37.731737 37.2035418, 37.7318433 37.2035891))",,,N/A,
"POLYGON ((37.3632766 37.0439768, 37.3634615 37.0438897, 37.3634136 37.0438249, 37.3632287 37.043912, 37.3632766 37.0439768))",2,26.5,Pre-1970,True
"POLYGON ((37.3933326 37.041169, 37.3933437 37.0412236, 37.39347 37.0412072, 37.3934589 37.0411527, 37.3933326 37.041169))",2,34.6,Pre-1970,True
"POLYGON ((37.3859264 37.0786789, 37.3859704 37.0786789, 37.3859704 37.0786556, 37.3859264 37.0786556, 37.3859264 37.0786789))",,,N/A,
"POLYGON ((37.3725943 37.0518895, 37.3725248 37.0518922, 37.3725227 37.051859, 37.3725923 37.0518562, 37.3725943 37.0518895))",2,30.4,Pre-1970,True
