id,Latitude,Longitude,OccupancyClass,StructureType,YearBuilt,NumberOfStories,ReplacementCost
4953,37.9529,40.180401,RES1,C3L,1971,1,2
4954,37.952702,40.181,RES1,C3L,1971,1,2
4955,37.958199,40.166302,RES1,C3L,1971,1,2
4956,38.371498,38.3363,RES1,C3L,1971,1,2
4957,36.7556,36.209599,RES1,C3L,1971,1,2
4958,36.297901,36.192699,RES1,C3L,1971,1,2
4959,36.297699,36.191898,RES1,C3L,1971,1,2
4960,36.297501,36.191799,RES1,C3L,1971,1,2
4961,36.297001,36.191299,RES1,C3L,1971,1,2
4962,36.299099,36.189999,RES1,C3L,1971,1,2
4963,36.299,36.189201,RES1,C3L,1971,1,2
4964,36.298901,36.189098,RES1,C3L,1971,1,2
4965,36.300701,36.189602,RES1,C3L,1971,1,2
4966,36.577599,36.193001,RES1,C3L,1971,1,2
4967,36.5774,36.192902,RES1,C3L,1971,1,2
4968,36.577599,36.192699,RES1,C3L,1971,1,2
4969,36.578999,36.189602,RES1,C3L,1971,1,2
4970,36.5788,36.189701,RES1,C3L,1971,1,2
4971,38.371601,38.336399,RES1,C3L,1971,1,2
4972,38.371498,38.336399,RES1,C3L,1971,1,2
4973,38.352299,38.336399,RES1,C3L,1971,1,2
4974,38.352299,38.335999,RES1,C3L,1971,1,2
4975,38.352299,38.335602,RES1,C3L,1971,1,2
4976,38.352402,38.3354,RES1,C3L,1971,1,2
4977,38.352402,38.335098,RES1,C3L,1971,1,2
4978,38.352501,38.334702,RES1,C3L,1971,1,2
4979,38.352501,38.334499,RES1,C3L,1971,1,2
4980,38.3526,38.3344,RES1,C3L,1971,1,2
4981,38.352699,38.334599,RES1,C3L,1971,1,2
4982,38.352699,38.334301,RES1,C3L,1971,1,2
4983,38.352699,38.335499,RES1,C3L,1971,1,2
4984,38.352699,38.335201,RES1,C3L,1971,1,2
4985,38.352699,38.334999,RES1,C3L,1971,1,2
4986,38.352699,38.3349,RES1,C3L,1971,1,2
4987,38.3526,38.3349,RES1,C3L,1971,1,2
4988,38.356998,38.323898,RES1,C3L,1971,1,2
4989,38.3526,38.336498,RES1,C3L,1971,1,2
4990,38.352699,38.336102,RES1,C3L,1971,1,2
4991,38.352699,38.3363,RES1,C3L,1971,1,2
4992,38.3531,38.3367,RES1,C3L,1971,1,2
4993,36.114399,36.098099,RES1,C3L,1971,1,2
4994,36.1138,36.0993,RES1,C3L,1971,1,2
4995,36.1134,36.099899,RES1,C3L,1971,1,2
4996,36.113201,36.099998,RES1,C3L,1971,1,2
4997,36.113201,36.098701,RES1,C3L,1971,1,2
4998,36.1133,36.099098,RES1,C3L,1971,1,2
4999,36.1134,36.098499,RES1,C3L,1971,1,2
5000,36.1134,36.098598,RES1,C3L,1971,1,2
5001,36.578701,36.189899,RES1,C3L,1971,1,2
5002,36.578602,36.190102,RES1,C3L,1971,1,2
5003,36.755798,36.209599,RES1,C3L,1971,1,2
5004,36.755798,36.209499,RES1,C3L,1971,1,2
5005,36.1227,36.028702,RES1,C3L,1971,1,2
5006,36.1227,36.031601,RES1,C3L,1971,1,2
5007,37.957001,40.1688,RES1,C3L,1971,1,2
5008,37.955898,40.168598,RES1,C3L,1971,1,2
5009,37.957401,40.1656,RES1,C3L,1971,1,2
5010,37.957001,40.165401,RES1,C3L,1971,1,2
5011,37.958099,40.1651,RES1,C3L,1971,1,2
5012,37.958199,40.167702,RES1,C3L,1971,1,2
5013,37.958199,40.1689,RES1,C3L,1971,1,2
5014,37.957802,40.168301,RES1,C3L,1971,1,2
5015,36.7556,36.208698,RES1,C3L,1971,1,2
5016,36.755699,36.208801,RES1,C3L,1971,1,2
5017,36.7561,36.2099,RES1,C3L,1971,1,2
5018,36.756302,36.210098,RES1,C3L,1971,1,2
5019,36.7565,36.209702,RES1,C3L,1971,1,2
5020,36.756599,36.2099,RES1,C3L,1971,1,2
5021,36.7565,36.209999,RES1,C3L,1971,1,2
5022,36.756401,36.209999,RES1,C3L,1971,1,2
5023,36.578499,36.189499,RES1,C3L,1971,1,2
5024,36.756401,36.209702,RES1,C3L,1971,1,2
5025,36.756599,36.209599,RES1,C3L,1971,1,2
5026,36.7565,36.209,RES1,C3L,1971,1,2
5027,36.756001,36.208698,RES1,C3L,1971,1,2
5028,36.578201,36.189899,RES1,C3L,1971,1,2
5029,36.757702,36.2099,RES1,C3L,1971,1,2
5030,36.577999,36.190102,RES1,C3L,1971,1,2
5031,36.577801,36.190399,RES1,C3L,1971,1,2
5032,36.5784,36.190201,RES1,C3L,1971,1,2
5033,36.5783,36.190399,RES1,C3L,1971,1,2
5034,36.489601,36.360001,RES1,C3L,1971,1,2
5035,36.4893,36.3601,RES1,C3L,1971,1,2
5036,37.917999,40.130901,COM1,C1,1971,1,2
5037,37.9179,40.1306,COM1,C1,1971,1,2
5038,37.9188,40.132401,COM1,C1,1971,1,2
5039,37.918701,40.132999,COM1,C1,1971,1,2
5040,37.918499,40.133099,COM1,C1,1971,1,2
5041,37.9189,40.132999,COM1,C1,1971,1,2
5042,37.918999,40.1329,COM1,C1,1971,1,2
5043,37.919201,40.132801,COM1,C1,1971,1,2
5044,36.578201,36.190601,RES1,C3L,1971,1,2
5045,37.919399,40.132702,COM1,C1,1971,1,2
5046,37.919601,40.132599,COM1,C1,1971,1,2
5047,37.919399,40.132099,COM1,C1,1971,1,2
5048,37.919399,40.132401,COM1,C1,1971,1,2
5049,37.923801,40.132099,RES3,C3M,1971,1,2
5050,37.923698,40.1315,RES3,C3M,1971,1,2
5051,36.577999,36.190701,RES1,C3L,1971,1,2
5052,37.924,40.132702,RES3,C3M,1971,1,2
5053,37.883499,40.8829,RES1,C3L,1971,1,2
5054,37.883301,40.8829,RES1,C3L,1971,1,2
5055,37.883099,40.8829,RES1,C3L,1971,1,2
5056,37.882801,40.882801,RES1,C3L,1971,1,2
5057,37.882801,40.883202,RES1,C3L,1971,1,2
5058,37.882801,40.883598,RES1,C3L,1971,1,2
5059,37.883701,40.883598,RES1,C3L,1971,1,2
5060,37.883999,40.883598,RES1,C3L,1971,1,2
5061,37.954899,40.169399,RES1,C3L,1971,1,2
5062,37.955101,40.171101,RES1,C3L,1971,1,2
5063,36.7579,36.2099,RES1,C3L,1971,1,2
5064,36.7579,36.209702,RES1,C3L,1971,1,2
5065,36.757801,36.209499,RES1,C3L,1971,1,2
5066,36.7579,36.208698,RES1,C3L,1971,1,2
5067,36.577599,36.190201,RES1,C3L,1971,1,2
5068,36.577801,36.189899,RES1,C3L,1971,1,2
5069,36.577999,36.189602,RES1,C3L,1971,1,2
5070,38.045101,37.1936,RES1,C3L,1971,1,2
5071,38.044998,37.192902,RES1,C3L,1971,1,2
5072,38.0448,37.192799,RES1,C3L,1971,1,2
5073,37.924,40.131199,RES3,C3M,1971,1,2
5074,37.9245,40.131001,RES3,C3M,1971,1,2
5075,38.044998,37.192501,RES1,C3L,1971,1,2
5076,36.7202,37.0961,RES1,C3L,1971,1,2
5077,36.7202,37.096001,RES1,C3L,1971,1,2
5078,36.7202,37.096001,RES1,C3L,1971,1,2
5079,36.720299,37.0961,RES1,C3L,1971,1,2
5080,36.720299,37.096001,RES1,C3L,1971,1,2
5081,36.7201,37.095901,RES1,C3L,1971,1,2
5082,36.7201,37.095699,RES1,C3L,1971,1,2
5083,36.7201,37.0956,RES1,C3L,1971,1,2
5084,36.7201,37.095402,RES1,C3L,1971,1,2
5085,37.887699,40.2253,RES1,C3L,1971,1,2
5086,37.9249,40.130798,RES3,C3M,1971,1,2
5087,37.9254,40.130798,RES3,C3M,1971,1,2
5088,37.9258,40.130798,RES3,C3M,1971,1,2
5089,37.887402,40.225899,RES1,C3L,1971,1,2
5090,37.887299,40.224998,RES1,C3L,1971,1,2
5091,37.8951,40.2286,RES1,C3L,1971,1,2
5092,37.8951,40.228802,RES1,C3L,1971,1,2
5093,37.895,40.228802,RES1,C3L,1971,1,2
5094,38.0452,37.192299,RES1,C3L,1971,1,2
5095,38.045601,37.192402,RES1,C3L,1971,1,2
5096,36.7197,37.0966,RES1,C3L,1971,1,2
5097,38.045502,37.192902,RES1,C3L,1971,1,2
5098,38.045799,37.1931,RES1,C3L,1971,1,2
5099,38.045898,37.193001,RES1,C3L,1971,1,2
5100,36.719398,37.0961,RES1,C3L,1971,1,2
5101,36.719398,37.096001,RES1,C3L,1971,1,2
5102,36.719501,37.096298,RES1,C3L,1971,1,2
5103,36.719398,37.095798,RES1,C3L,1971,1,2
5104,36.719398,37.0956,RES1,C3L,1971,1,2
5105,36.7192,37.095798,RES1,C3L,1971,1,2
5106,36.719299,37.095901,RES1,C3L,1971,1,2
5107,36.7192,37.096001,RES1,C3L,1971,1,2
5108,36.719299,37.0966,RES1,C3L,1971,1,2
5109,36.719299,37.096199,RES1,C3L,1971,1,2
5110,36.576,36.392101,RES1,C3L,1971,1,2
5111,36.575901,36.3922,RES1,C3L,1971,1,2
5112,36.576099,36.3909,RES1,C3L,1971,1,2
5113,36.576401,36.391399,RES1,C3L,1971,1,2
5114,36.576401,36.391998,RES1,C3L,1971,1,2
5115,36.577,36.3918,RES1,C3L,1971,1,2
5116,36.577,36.391701,RES1,C3L,1971,1,2
5117,36.577099,36.391899,RES1,C3L,1971,1,2
5118,36.577202,36.391701,RES1,C3L,1971,1,2
5119,38.0457,37.192902,RES1,C3L,1971,1,2
5120,36.577499,36.391701,RES1,C3L,1971,1,2
5121,36.5774,36.391602,RES1,C3L,1971,1,2
5122,36.577301,36.391998,RES1,C3L,1971,1,2
5123,36.577702,36.391899,RES1,C3L,1971,1,2
5124,36.577499,36.391899,RES1,C3L,1971,1,2
5125,36.578201,36.3923,RES1,C3L,1971,1,2
5126,36.578701,36.391899,RES1,C3L,1971,1,2
5127,36.578499,36.3918,RES1,C3L,1971,1,2
5128,36.578499,36.391602,RES1,C3L,1971,1,2
